"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"1448"	"Contig110170"	681	681	"+"	2.71855056893858e-06	0.00583242232677164	45.4545454545455
"2495"	"Contig120547"	1025	1025	"+"	4.86055747366011e-07	0.00130348981980683	56.7567567567568
"12520"	"Contig26036"	17364	17364	"+"	4.7481276991435e-06	0.00898827344396454	-75
"14413"	"Contig30748"	20276	20276	"+"	3.40532146321593e-07	0.000996249777638435	-43.4440559440559
"16330"	"Contig35213"	68	68	"+"	2.74853163340841e-08	0.000126358804007736	-54.1353383458647
"16332"	"Contig35213"	307	307	"+"	9.42509101831599e-10	5.95233408785606e-06	-55.8139534883721
"16334"	"Contig35213"	1090	1090	"+"	6.72732374337004e-07	0.00166533566347502	-51.5669515669516
"16335"	"Contig35213"	1093	1093	"+"	1.19841040878796e-07	0.00048207919861176	-57.2008113590264
"16337"	"Contig35213"	1722	1722	"+"	3.10963329416511e-07	0.000996249777638435	-47.3684210526316
"16338"	"Contig35213"	1989	1989	"+"	2.90809106779581e-17	9.35859836445108e-13	-78.5954583683768
"16339"	"Contig35213"	2004	2004	"+"	1.10977705758907e-09	5.95233408785606e-06	-62.2340425531915
"16340"	"Contig35213"	2007	2007	"+"	9.27550036113271e-11	7.46242814319399e-07	-65.6633221850613
"16341"	"Contig35213"	2387	2387	"+"	5.50244966395617e-13	5.90252221876549e-09	-79.8076923076923
"16342"	"Contig35213"	2413	2413	"+"	5.98526873952801e-15	9.63066921404953e-11	-76.2362637362637
"26242"	"Contig64"	7483	7483	"+"	1.95491680162544e-06	0.00449368939373806	-48.0950024740228
"27558"	"Contig68908"	3111	3111	"+"	2.35717799119213e-07	0.000842854626351584	-55.7142857142857
"31408"	"Contig85299"	5890	5890	"+"	3.44742820797913e-06	0.00693390768132175	-39
